epoch,age_output_accuracy,age_output_loss,emotion_output_accuracy,emotion_output_loss,ethnicity_output_accuracy,ethnicity_output_loss,gender_output_accuracy,gender_output_loss,learning_rate,loss,val_age_output_accuracy,val_age_output_loss,val_emotion_output_accuracy,val_emotion_output_loss,val_ethnicity_output_accuracy,val_ethnicity_output_loss,val_gender_output_accuracy,val_gender_output_loss,val_loss
0,0.4115327298641205,1.093427062034607,0.19151785969734192,1.940292477607727,0.7332589030265808,0.7280660271644592,0.7789434790611267,0.5017127394676208,0.0003000000142492354,3.001552104949951,0.3806547522544861,1.1690844297409058,0.1428571492433548,2.0823230743408203,0.7654761672019958,0.7327739000320435,0.7970238327980042,0.5381520390510559,3.196608304977417
1,0.4621279835700989,1.0332305431365967,0.24188987910747528,1.8594342470169067,0.750967264175415,0.6803469061851501,0.8086309432983398,0.4395962655544281,0.0003000000142492354,2.8481009006500244,0.3806547522544861,1.9519821405410767,0.1428571492433548,3.200615406036377,0.7654761672019958,0.9802842140197754,0.7970238327980042,1.0268430709838867,4.983794212341309
2,0.4872767925262451,1.0074292421340942,0.28065475821495056,1.790412425994873,0.7526041865348816,0.6647093296051025,0.8094494342803955,0.41945284605026245,0.0003000000142492354,2.7523176670074463,0.3806547522544861,1.5232399702072144,0.1428571492433548,3.2066705226898193,0.7654761672019958,0.9679262638092041,0.7970238327980042,1.0465478897094727,4.774721145629883
3,0.49873512983322144,0.9943797588348389,0.31860119104385376,1.7260470390319824,0.7545387148857117,0.6435011625289917,0.8167410492897034,0.4058454930782318,0.0003000000142492354,2.6667423248291016,0.4211309552192688,1.0509089231491089,0.19434523582458496,2.2885921001434326,0.7654761672019958,0.8652104139328003,0.7970238327980042,0.6810573935508728,3.4552948474884033
4,0.504687488079071,0.9809095859527588,0.3366071283817291,1.6775003671646118,0.7573660612106323,0.6203944683074951,0.8208333253860474,0.3932245671749115,0.0003000000142492354,2.5961201190948486,0.4422619044780731,1.0637179613113403,0.23898810148239136,2.0649631023406982,0.7666666507720947,0.6765456795692444,0.7973214387893677,0.5619599223136902,3.105347156524658
5,0.5133184790611267,0.9697867035865784,0.3607887029647827,1.638705849647522,0.7619791626930237,0.6040506362915039,0.8279017806053162,0.3766281008720398,0.0003000000142492354,2.5386123657226562,0.4196428656578064,1.241117000579834,0.3187499940395355,1.7471535205841064,0.7678571343421936,0.6529117226600647,0.7970238327980042,0.6197776794433594,2.881936550140381
6,0.5160714387893677,0.9651854038238525,0.375,1.6040443181991577,0.7613839507102966,0.5927169919013977,0.8300595283508301,0.3715376853942871,0.0003000000142492354,2.4944567680358887,0.5291666388511658,0.9535877108573914,0.3776785731315613,1.5995633602142334,0.7717261910438538,0.5928600430488586,0.8023809790611267,0.46179354190826416,2.512068033218384
7,0.5226934552192688,0.9551020264625549,0.39226189255714417,1.5734976530075073,0.7647321224212646,0.5777507424354553,0.8367559313774109,0.3591388165950775,0.0003000000142492354,2.4476659297943115,0.538095235824585,0.9281771779060364,0.36398810148239136,1.6884536743164062,0.7723214030265808,0.5823689103126526,0.8062499761581421,0.4306974411010742,2.573119878768921
8,0.5369791388511658,0.9420795440673828,0.4033482074737549,1.5463416576385498,0.7682291865348816,0.5681416392326355,0.8399553298950195,0.35050904750823975,0.0003000000142492354,2.406604290008545,0.4988095164299011,1.00606369972229,0.3407738208770752,1.7626497745513916,0.7717261910438538,0.5776960849761963,0.7982142567634583,0.5321127772331238,2.714169979095459
9,0.5369047522544861,0.9343254566192627,0.4192708432674408,1.5174744129180908,0.7680803537368774,0.5627140402793884,0.847842276096344,0.340250700712204,0.0003000000142492354,2.368069648742676,0.5407738089561462,0.916359007358551,0.38630953431129456,1.559544324874878,0.7839285731315613,0.5484246015548706,0.8059523701667786,0.42143020033836365,2.4192965030670166
